0,M2 Food Restro,https://web.whatsapp.com/send?phone=7947441799
1,Chefs biriyani,https://web.whatsapp.com/send?phone=7947293415
2,New Riddhi Siddhi Restauran..,https://web.whatsapp.com/send?phone=7947293152
3,Riddhi Siddhi Restaurant,https://web.whatsapp.com/send?phone=7947292214
4,Mud Oven Restaurant & Banqu..,https://web.whatsapp.com/send?phone=7947292585
5,Desi Tadka Family Restauran..,https://web.whatsapp.com/send?phone=7947293563
6,Singh Restaurant,https://web.whatsapp.com/send?phone=7947170358
7,Amber Restaurant,https://web.whatsapp.com/send?phone=7947293223
8,Omg Lunch Buzzer Restaurant,https://web.whatsapp.com/send?phone=7947292691
9,Biryani Farm,https://web.whatsapp.com/send?phone=7947284343
10,Seasoning Restaurant,https://web.whatsapp.com/send?phone=7947293130
11,Chawlas 2,https://web.whatsapp.com/send?phone=9303099926
12,Mohit Restaurant,https://web.whatsapp.com/send?phone=9977983069
13,Shri Laddu Maharaj,https://web.whatsapp.com/send?phone=31-2928338
14,Hitchky The Family Restaura..,https://web.whatsapp.com/send?phone=8602019003
15,Aman Punjabi Dhaba,https://web.whatsapp.com/send?phone=9406622596
16,U TURN RESTAURANT & HOTEL,https://web.whatsapp.com/send?phone=9399639413
17,Mister Shef Restaurant & Ca..,https://web.whatsapp.com/send?phone=31-4098800
18,Mr Singhs Restaurant,https://web.whatsapp.com/send?phone=9752091717
19,Nafees Restaurant,https://web.whatsapp.com/send?phone=9039090005
0,Chefs biriyani,https://web.whatsapp.com/send?phone=7947293415
1,M2 Food Restro,https://web.whatsapp.com/send?phone=7947441799
2,New Riddhi Siddhi Restauran..,https://web.whatsapp.com/send?phone=7947293152
3,Riddhi Siddhi Restaurant,https://web.whatsapp.com/send?phone=7947292214
4,Mud Oven Restaurant & Banqu..,https://web.whatsapp.com/send?phone=7947292585
5,Biryani Farm,https://web.whatsapp.com/send?phone=7947284343
6,Omg Lunch Buzzer Restaurant,https://web.whatsapp.com/send?phone=7947292691
7,Desi Tadka Family Restauran..,https://web.whatsapp.com/send?phone=7947293563
8,Singh Restaurant,https://web.whatsapp.com/send?phone=7947170358
9,Amber Restaurant,https://web.whatsapp.com/send?phone=7947293223
10,Seasoning Restaurant,https://web.whatsapp.com/send?phone=7947293130
11,Aman Punjabi Dhaba,https://web.whatsapp.com/send?phone=9406622596
12,Chawlas 2,https://web.whatsapp.com/send?phone=9303099926
13,Mohit Restaurant,https://web.whatsapp.com/send?phone=9977983069
14,Shri Laddu Maharaj,https://web.whatsapp.com/send?phone=31-2928338
15,Mr Singhs Restaurant,https://web.whatsapp.com/send?phone=9752091717
16,Mister Shef Restaurant & Ca..,https://web.whatsapp.com/send?phone=31-4098800
17,U TURN RESTAURANT & HOTEL,https://web.whatsapp.com/send?phone=9399639413
18,Hitchky The Family Restaura..,https://web.whatsapp.com/send?phone=8602019003
19,Nafees Restaurant,https://web.whatsapp.com/send?phone=9039090005
